nome;colecao;arte;foil;lingua;quantidade;valor
Dovin, Grand Arbiter;Innistrad Crimson Vow Commander(VOC);https://repositorio.sbrauble.com/arquivos/in/magic/479879/618ac24d05e3d-quzty-pav4n-2026968687618ac24d05e85.jpg;não;en;1;R$ 1.50
Tasha, the Witch Queen;Commander Legends(CLB);https://repositorio.sbrauble.com/arquivos/in/magic/479911/62865f0789c2c-1em32-syw6v-194654336362865f0789c72.jpg;não ;en;1;R$ 15.30
Finale of Revelation;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/67216879c9120-cs4ep-1u7kh-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 2.40
Vraska the Unseen;Commanders 2019 (C19);https://repositorio.sbrauble.com/arquivos/in/magic/479772/5f4244369a7f8-t295c1-9vcplz-69adc1e107f7f7d035d7baf04342e1ca.jpg;não;en;1;R$ 3.00
Daretti, Scrap Savant;Commanders 2014 (C14);https://repositorio.sbrauble.com/arquivos/in/magic/118359/6267106fc2c6c-gukyc-chzym-7044935576267106fc2cb0.jpg;não;en;1;R$ 3.00
Samut, the Tested;Hour of Devastation(HOU);https://repositorio.sbrauble.com/arquivos/in/magic/176324/625180c21d31e-qtx0k-s576c-1265647263625180c21d355.jpg;não;pt;1;R$ 1.00
Dragonmaster Outcast;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/672168636ae15-2u7pd-qtu8a-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 2.50
Greensleeves, Maro-Sorcerer;Dominaria United Commander(DMC);https://repositorio.sbrauble.com/arquivos/in/magic/479948/6308e60511b9b-id8sw-gju6y-3378080376308e60511bda.jpg;não;pt;1;R$ 38.95
Gideon, Champion of Justice;Commanders 2021 (C21);https://repositorio.sbrauble.com/arquivos/in/magic/479845/607076b1f0831-rt10u-xoh4p-549589091607076b1f0881.jpg;não ;pt;2;R$ 1.60
Demon of Death's Gate;The List(TL);https://repositorio.sbrauble.com/arquivos/in/magic/479828/62a11a4e524df-b1jf5-mvp0k-159255031762a11a4e52528.jpg;não;en;1;R$ 10.80
Jaya, Fiery Negotiator;Dominaria United(DMU);https://repositorio.sbrauble.com/arquivos/in/magic/479947/62ffc8b7d5b46-x43ty-31zl0-189660494862ffc8b7d5b84.jpg;não;pt;1;R$ 2.88
Battle Angels of Tyr;Commander Legends(CLB);https://repositorio.sbrauble.com/arquivos/in/magic/479911/62851713c2714-t195x-r2q0z-14854322862851713c275e.jpg;não ;en;1;R$ 64.80
The Lady of Otaria ;Dominaria United Commander(DMC);https://repositorio.sbrauble.com/arquivos/in/magic/479948/6303b0070415b-fwegp-j8qkv-12633379746303b0070419c.jpg;sim;pt;1;R$ 1.88
Invasion of Ravnica;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/6424af382d11f-oyp5s-d0n83-4625460036424af382d165.jpg;não;pt;1;R$ 1.00
Pyromancer's Goggles;Fondations(SCFDN);https://repositorio.sbrauble.com/arquivos/in/magic/480609/6720003754ae7-irhmo-oylsp-a47573e568e5a8d320ab76d2ae0188c6.jpg;não;en;1;R$ 4.45
Legacy Weapon;The List(TL);https://repositorio.sbrauble.com/arquivos/in/magic/479828/630d1e194e944-j81fu-hy8bu-800373793630d1e194e98d.jpg;não;en;1;R$ 2.38
Ayara, Widow of the Realm;March of the Machines(BFMOM);https://repositorio.sbrauble.com/arquivos/in/magic/480205/642b22216ddba-zf182-jgpt3-363694079642b22216ddf9.jpg;não ;pt;1;R$ 1.80
Kroxa and Kunoros;March of the Machines(BFMOM);https://repositorio.sbrauble.com/arquivos/in/magic/480205/642de4e788d08-rlwuj-nl6ke-1465660424642de4e788d4a.jpg;não;pt;1;R$ 4.00
Elenda and Azor;March of the Machines Commander(MOC);https://repositorio.sbrauble.com/arquivos/in/magic/480190/642dc83dedef8-rb15z-dcenu-1540857506642dc83dedf47.jpg;não;pt;1;R$ 3.33
Obosh, the Preypiercer;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/642dea7dd4062-574pj-g8ifb-1570750074642dea7dd40bc.jpg;não;pt;1;R$ 0.90
Emry, Lurker of the Loch;Multiverse Lengends(MUL);https://repositorio.sbrauble.com/arquivos/in/magic/480191/64259cde71079-vpsx1-lsd3a-60544152464259cde710b9.jpg;não;pt;1;R$ 6.00
Grim Hireling;Forgotten Realms Commander (CBAFC) ;https://repositorio.sbrauble.com/arquivos/in/magic/479863/60ec7102aab63-pkma9-e19w7-24184832560ec7102aaba8.jpg;não ;en;1;R$ 117.81
Outlaws' Merriment;Throne of Eldraine(EDL);https://repositorio.sbrauble.com/arquivos/in/magic/479771/5f42443113dbf-rd45gm-7azyuw-0e65972dce68dad4d52d063967f0a705.jpg;não;en;1;R$ 1.10
Cultist of the Absolute;Commander Legends(CLB);https://repositorio.sbrauble.com/arquivos/in/magic/479915/628625f93ae8b-62cvx-v3ld9-131882059628625f93aee2.jpg;não;en;1;R$ 1.00
Invasion of Gobakhan;March of the Machines(MOM);https://repositorio.sbrauble.com/arquivos/in/magic/480189/642c8e023c2d8-8lar0-qe6gd-5369673642c8e023c319.jpg;não;pt;2;R$ 28.80
Wand of Wonder;Commander Legends(CLB);https://repositorio.sbrauble.com/arquivos/in/magic/479916/628523ad50bed-j5mif-5vtlp-1086340126628523ad50c50.jpg;sim;en;1;R$ 2.50
Claim Jumper;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660b117bad26e-2me1c-0j9lk-8b7348065e7b65eeacb807363ff9592c.jpg;sim;en;1;R$ 4.75
Breeches, the Blastmaker;Outlaws ofTthunder Junction(WPOTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480456/660b160e5d54b-82ufj-53vo0-ccbbc2f57de7b9e1a79f597ed5908816.jpg;não;en;1;R$ 1.75
Contagion Engine;Breaking News(OTP);https://repositorio.sbrauble.com/arquivos/in/magic/480450/660c492dbb242-rd5bw-sa43x-eb39f987dd81dad7a11eb7db0dd02d75.jpg;não;en;1;R$ 13.64
Geralf, the Fleshwright;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660ac9fe7ded2-n4r1t-mxuyk-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;2;R$ 11.50
Endless Detour;Breaking News(OTP);https://repositorio.sbrauble.com/arquivos/in/magic/480450/660c493a81789-25gjp-jogmy-eb39f987dd81dad7a11eb7db0dd02d75.jpg;sim;en;1;R$ 1.75
Eriette, the Beguiler;Outlaws ofTthunder Junction(WPOTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480456/660b16118042e-a629g-jrtk8-ccbbc2f57de7b9e1a79f597ed5908816.jpg;sim;en;1;R$ 8.00
Esoteric Duplicator;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660d864faca7b-gahcx-luj7f-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 8.00
Loot, the Key to Everything;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660d8654dc5e8-g01ca-pz9fo-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 6.90
Dust Animus;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660c506ca67a6-aizwu-j6cfw-8b7348065e7b65eeacb807363ff9592c.jpg;sim;en;1;R$ 3.00
Ghired, Mirror of the Wilds;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/660aca00a004d-ms938-agf54-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;1;R$ 4.50
Generous Plunderer;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660ed71e38f8e-7u9gy-nikzd-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 12.20
Hostile Investigator;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660ed72311a58-kb5mw-n0q2d-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 30.00
The Gitrog, Ravenous Ride;Outlaws of Thunder Junction(OTJ);https://repositorio.sbrauble.com/arquivos/in/magic/480447/6603354b49bd9-ihlet-6bqa2-8b7348065e7b65eeacb807363ff9592c.jpg;não;en;1;R$ 8.25
Indomitable Creativity;Breaking News(OTP);https://repositorio.sbrauble.com/arquivos/in/magic/480450/660c494f7a7a4-peq56-bz52f-eb39f987dd81dad7a11eb7db0dd02d75.jpg;não;en;1;R$ 14.25
Mindbreak Trap;Breaking News(OTP);https://repositorio.sbrauble.com/arquivos/in/magic/480450/660c4957717db-nwvgd-7k0th-eb39f987dd81dad7a11eb7db0dd02d75.jpg;não;en;1;R$ 70.00
Torpor Orb;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/66045dafc10e4-oyw46-qcha1-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;2;R$ 11.85
Harvester of Misery;The Big Score(BIG);https://repositorio.sbrauble.com/arquivos/in/magic/480454/660ed7216fc0c-dc7ro-p28y6-1de78cfe0c6d57e3fd93d827c4a6ea84.jpg;não;en;1;R$ 44.65
